Testing with Activation Function: ReLU
Epoch [320/1000] - Loss: 0.2829
Epoch [321/1000] - Loss: 0.2861
Epoch [322/1000] - Loss: 0.2870
Epoch [323/1000] - Loss: 0.3077
Epoch [324/1000] - Loss: 0.2800
Epoch [325/1000] - Loss: 0.2835
Epoch [326/1000] - Loss: 0.2798
Epoch [327/1000] - Loss: 0.2828
Epoch [328/1000] - Loss: 0.2795
Epoch [329/1000] - Loss: 0.2730
Epoch [330/1000] - Loss: 0.2868
Epoch [331/1000] - Loss: 0.2812
Epoch [332/1000] - Loss: 0.2712
Epoch [333/1000] - Loss: 0.2765
Epoch [334/1000] - Loss: 0.2704
Epoch [335/1000] - Loss: 0.2787
Epoch [336/1000] - Loss: 0.2974
Epoch [337/1000] - Loss: 0.2765
Epoch [338/1000] - Loss: 0.2832
Epoch [339/1000] - Loss: 0.3064
Epoch [340/1000] - Loss: 0.2838
Epoch [341/1000] - Loss: 0.2862
Epoch [342/1000] - Loss: 0.2825
Epoch [343/1000] - Loss: 0.2739
Epoch [344/1000] - Loss: 0.2869
Epoch [345/1000] - Loss: 0.2869
Epoch [346/1000] - Loss: 0.2741
Epoch [347/1000] - Loss: 0.2759
Epoch [348/1000] - Loss: 0.2824
Epoch [349/1000] - Loss: 0.2682
Epoch [350/1000] - Loss: 0.2903
Epoch [351/1000] - Loss: 0.2665
Epoch [352/1000] - Loss: 0.2772
Epoch [353/1000] - Loss: 0.2836
Epoch [354/1000] - Loss: 0.2773
Epoch [355/1000] - Loss: 0.2713
Epoch [356/1000] - Loss: 0.2822
Epoch [357/1000] - Loss: 0.2767
Epoch [358/1000] - Loss: 0.2670
Epoch [359/1000] - Loss: 0.2844
Epoch [360/1000] - Loss: 0.3188
Epoch [361/1000] - Loss: 0.2775
Epoch [362/1000] - Loss: 0.2682
Epoch [363/1000] - Loss: 0.2730
Epoch [364/1000] - Loss: 0.2700
Epoch [365/1000] - Loss: 0.2745
Epoch [366/1000] - Loss: 0.2709
Epoch [367/1000] - Loss: 0.2786
Epoch [368/1000] - Loss: 0.2749
Epoch [369/1000] - Loss: 0.2794
Epoch [370/1000] - Loss: 0.2682
Epoch [371/1000] - Loss: 0.2704
Epoch [372/1000] - Loss: 0.2817
Epoch [373/1000] - Loss: 0.2903
Epoch [374/1000] - Loss: 0.2825
Epoch [375/1000] - Loss: 0.3104
Epoch [376/1000] - Loss: 0.2826
Epoch [377/1000] - Loss: 0.2755
Epoch [378/1000] - Loss: 0.2728
Epoch [379/1000] - Loss: 0.2729
Epoch [380/1000] - Loss: 0.2675
Epoch [381/1000] - Loss: 0.2652
Epoch [382/1000] - Loss: 0.2726
Epoch [383/1000] - Loss: 0.2651
Epoch [384/1000] - Loss: 0.2732
Epoch [385/1000] - Loss: 0.2841
Epoch [386/1000] - Loss: 0.2778
Epoch [387/1000] - Loss: 0.2693
Epoch [388/1000] - Loss: 0.2806
Epoch [389/1000] - Loss: 0.2925
Epoch [390/1000] - Loss: 0.2635
Epoch [391/1000] - Loss: 0.2715
Epoch [392/1000] - Loss: 0.2686
Epoch [393/1000] - Loss: 0.2612
Epoch [394/1000] - Loss: 0.2689
Epoch [395/1000] - Loss: 0.2709
Epoch [396/1000] - Loss: 0.2612
